customer_id,customer_name,region,end_use,customer_type,city,state,years_as_customer,credit_limit
C00001,Boston Flooring Services,Northeast,Flooring,Small Commercial,Boston,MA,3,165000
C00002,Johnson General LLC,West,General Construction,Small Business,San Francisco,CA,2,50000
C00003,Austin General Supply,Southwest,General Construction,Small Business,Austin,TX,11,85000
C00004,Austin Residential Supply,Southwest,Residential Construction,Large Commercial,Austin,TX,7,315000
C00005,Pro Carpentry Pros,Southwest,Carpentry,Small Commercial,Dallas,TX,2,105000
C00006,Rodriguez Residential Inc,Midwest,Residential Construction,Large Commercial,Milwaukee,WI,15,340000
C00007,Wilson & Sons HVAC,West,HVAC,Small Business,San Jose,CA,4,30000
C00008,Pioneer Carpentry Inc,West,Carpentry,Small Commercial,San Diego,CA,7,90000
C00009,Brown & Sons Residential,Southeast,Residential Construction,Small Commercial,Atlanta,GA,11,90000
C00010,Boston Electrical Co,Northeast,Electrical,Small Business,Boston,MA,12,55000
C00011,Residential Specialists,West,Residential Construction,Small Business,Sacramento,CA,11,70000
C00012,Clark & Sons Residential,Midwest,Residential Construction,Large Commercial,Chicago,IL,5,140000
C00013,San Francisco Roofing Specialists,West,Roofing,Small Commercial,San Francisco,CA,8,110000
C00014,Pittsburgh General Services,Mid-Atlantic,General Construction,Small Commercial,Pittsburgh,PA,12,135000
C00015,Garcia Painting Services,Southeast,Painting,Small Business,Jacksonville,FL,3,100000
C00016,Miami General Enterprises,Southeast,General Construction,Large Commercial,Miami,FL,11,370000
C00017,Rodriguez Painting Contractors,Southeast,Painting,Small Business,Tampa,FL,9,20000
C00018,Thomas & Sons HVAC,Northeast,HVAC,Small Business,Boston,MA,11,70000
C00019,Dynamic Residential Co,West,Residential Construction,Small Commercial,Sacramento,CA,13,75000
C00020,HVAC Pros,Southeast,HVAC,Small Commercial,Miami,FL,4,70000
C00021,Plumbing Works,Southwest,Plumbing,Independent Contractor,Dallas,TX,10,30000
C00022,Miami Painting LLC,Southeast,Painting,Small Commercial,Miami,FL,4,190000
C00023,Moore General Inc,Southeast,General Construction,Independent Contractor,Miami,FL,13,15000
C00024,Rodriguez & Sons Electrical,West,Electrical,Large Commercial,Sacramento,CA,14,485000
C00025,Orlando Plumbing Supply,Southeast,Plumbing,Independent Contractor,Orlando,FL,5,35000
C00026,Smith Plumbing Services,South Central,Plumbing,Small Business,Little Rock,AR,4,30000
C00027,Electrical Specialists,Southwest,Electrical,Large Commercial,Austin,TX,1,145000
C00028,Superior Residential Inc,Northeast,Residential Construction,Large Commercial,Boston,MA,9,250000
C00029,San Antonio Residential Supply,Southwest,Residential Construction,Small Business,San Antonio,TX,15,95000
C00030,Elite Painting Specialists,Southwest,Painting,Large Commercial,San Antonio,TX,7,325000
C00031,Metro Flooring Pros,Southeast,Flooring,Large Commercial,Tampa,FL,12,315000
C00032,Chicago Residential Co,Midwest,Residential Construction,Large Commercial,Chicago,IL,8,185000
C00033,Expert Plumbing Enterprises,Southeast,Plumbing,Small Commercial,Atlanta,GA,14,185000
C00034,Pro HVAC Enterprises,Southeast,HVAC,Small Business,Miami,FL,14,55000
C00035,Johnson Plumbing Group,West,Plumbing,Large Commercial,Sacramento,CA,7,100000
C00036,Taylor Plumbing Supply,South Central,Plumbing,Small Commercial,Little Rock,AR,13,135000
C00037,Brown & Sons General,Northeast,General Construction,Large Commercial,Newark,NJ,1,470000
C00038,Metro Landscaping Works,Northeast,Landscaping,Small Commercial,Boston,MA,8,130000
C00039,Reliable General Inc,Mid-Atlantic,General Construction,Small Business,Baltimore,MD,10,30000
C00040,Painting Specialists,Northeast,Painting,Large Commercial,New York,NY,10,480000
C00041,Painting Pros,West,Painting,Small Business,Los Angeles,CA,9,70000
C00042,Brown & Sons HVAC,Mid-Atlantic,HVAC,Independent Contractor,Baltimore,MD,5,35000
C00043,Precision Plumbing Experts,West,Plumbing,Small Commercial,San Jose,CA,10,140000
C00044,Plumbing Supply,South Central,Plumbing,Large Commercial,Oklahoma City,OK,3,320000
C00045,Baltimore Painting Experts,Mid-Atlantic,Painting,Small Commercial,Baltimore,MD,14,135000
C00046,Premier HVAC Contractors,Northeast,HVAC,Small Business,Providence,RI,15,35000
C00047,Premier Residential Group,Mid-Atlantic,Residential Construction,Large Commercial,Baltimore,MD,5,280000
C00048,Rodriguez & Sons Residential,Northeast,Residential Construction,Small Business,Buffalo,NY,8,60000
C00049,Moore General Contractors,Mid-Atlantic,General Construction,Small Business,Philadelphia,PA,1,20000
C00050,Dallas HVAC Supply,Southwest,HVAC,Small Commercial,Dallas,TX,8,135000
